	latitude	longitude	radius	station	records
455	54.65	-6.2167	5.0	BELFAST/ALDERGROVE ARPT	4234
456	55.35	-131.65	5.0	KETCHIKAN	5932
457	55.6333	12.6667	5.0	KOBENHAVN/KASTRUP	8553
458	56.5	-51.0	5.0	OCEAN WEATHER SHIP B	11583
459	56.8	60.6	5.0	SWERDLOWSK	171
460	57.58	39.58	5.0	JAROSLAVL	529
461	58.37	-134.58	5.0	JUNEAU	15260
462	59.0	-19.0	5.0	OCEAN WEATHER SHIP I	2647
463	59.78	21.37	5.0	UTO	674
464	59.97	11.03	5.0	KJELLER	1688
465	60.2	-166.1	5.0	NUNIVAK AAF	100
466	60.3167	24.9667	5.0	HELSINKI/SEUTALA	4544
467	60.38	5.33	5.0	BERGEN	179
468	60.4833	-145.5	5.0	CORDOVA	2276
469	60.57	28.63	5.0	SUUR-MERIJOKI	418
470	60.88	26.97	5.0	UTTI	630
471	61.08	-69.55	5.0	CAPE HOPES ADVANCE STATION	661
472	61.25	-149.8	5.0	ANCHORAGE ELMENDORF FIELD	223
473	62.0	-33.0	5.0	OCEAN WEATHER SHIP A	7562
474	62.1	42.9	5.0	SENKURSK	255
475	62.1167	-163.75	5.0	MOUNTAIN VILLAGE	147
476	62.85	149.76	5.0	SHTURMOVOY	2661
477	62.97	-141.96	5.0	NORTHWAY	12371
478	63.12	23.08	5.0	KAUHAVA	611
479	63.32	30.5	5.0	LIEKSA	148
480	63.3333	-149.15	5.0	SUMMIT	2843
481	63.43	-51.18	5.0	MARRAK POINT	353
482	63.5	-90.7	5.0	CHESTERFIELD INLET	472
483	63.85	-171.6	5.0	GAMBELL	8490
484	63.9	-160.7833	5.0	UNALAKLEET	1191
485	64.7167	-156.9	5.0	GALENA	571
486	65.6167	-168.05	5.0	WALES	863
487	65.93	-36.68	5.0	IKATEQ	111
488	66.0	2.0	5.0	OCEAN WEATHER SHIP M	2031
489	66.567	-145.267	5.0	FORT YUKON	133
490	67.0	-50.8	5.0	KANGERLUSSUAK	3155
491	67.47	86.57	5.0	IGARKA	13709
492	67.8167	-115.0833	5.0	COPPERMINE	14703
493	68.23	-135.0	5.0	AKLAVIK	7053
494	68.47	17.5	5.0	NARVIK	128
495	68.65	43.3	5.0	KANIN NOS	4393
496	69.3667	-152.1333	5.0	UMIAT	611
